0     (( i-- ))
1.10000000009e+11 1e+11    . /usr/local/etc/bash_completion.d/mcrypt
1.10000000009e+11 1e+11    . /usr/local/etc/bash_completion.d/mdadm
1.10000000009e+11 1e+11    . /usr/local/etc/bash_completion.d/medusa
1.10000000009e+11 1e+11    . /usr/local/etc/bash_completion.d/minicom
1.10000000009e+11 1e+11    . /usr/local/etc/bash_completion.d/mkinitrd
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/module-init-tools
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/monodevelop
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/mount
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/mplayer
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/msynctool
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/mtx
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/munin-node
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/mutt
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/mysqladmin
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/ncftp
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/net-tools
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/nmap
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/npm
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/ntpdate
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/open-iscsi
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/openldap
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/openssl
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/p4
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/perl
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/pine
1.1000000001e+11 1e+11    . /usr/local/etc/bash_completion.d/pkg-config
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/pkg_install
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/pkgtools
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/pm-utils
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/portupgrade
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/postfix
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/postgresql
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/povray
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/procps
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/python
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/qdbus
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/qemu
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/quota-tools
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/rabbitmqadmin.bash
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/rcs
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/rdesktop
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/reportbug
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/resolvconf
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/rfkill
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/ri
1.10000000011e+11 1e+11    . /usr/local/etc/bash_completion.d/rpcdebug
1.10000000012e+11 1e+11    . /usr/local/etc/bash_completion.d/rpm
1.10000000012e+11 1e+11    . /usr/local/etc/bash_completion.d/rpmcheck
